Name,Description,HazmatClass
NA0027,Black powder for small arms,4.1
NA0124,"Jet perforating guns, charged oil well, with detonator",1.1D
NA0276,Model rocket motor,1.4C
NA0323,Model rocket motor,1.4S
NA0331,Ammonium nitrate-fuel oil mixture containing only prilled ammonium nitrate and fuel oil,1.5D
NA0337,Toy Caps,1.4S
NA0494,"Jet perforating guns, charged oil well, with detonator",1.4D
NA1057,"Lighters, non-pressurized, containing flammable liquid",3
NA1203,"Gasohol gasoline mixed with ethyl alcohol, with not more than 10% alcohol",3
NA1270,Petroleum oil,3
NA1270,Petroleum oil,3
NA1270,Petroleum oil,3
NA1325,Fusee (railway or highway),4.1
NA1350,Sulfur,9
NA1361,"Charcoal briquettes, shell, screenings, wood, etc.",4.2
NA1365,Cotton,9
NA1556,Methyldichloroarsine,6.1
NA1613,"Hydrocyanic acid, aqueous solutions with less than 5 percent hydrogen cyanide",6.1
NA1693,"Tear gas devices with more than 2 percent tear gas substances, by mass",6.1
NA1693,"Tear gas devices with more than 2 percent tear gas substances, by mass",6.1
NA1759,"Ferrous chloride, solid",8
NA1760,Chemical kit,8
NA1760,"Compounds, cleaning liquid",8
NA1760,"Compounds, cleaning liquid",8
NA1760,"Compounds, cleaning liquid",8
NA1760,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",8
NA1760,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",8
NA1760,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",8
NA1760,"Ferrous chloride, solution",8
NA1911,Diborane mixtures,2.1
NA1954,"Refrigerant gases, n.o.s. or Dispersant gases, n.o.s.",2.1
NA1955,"Organic phosphate, mixed with compressed gas or Organic phosphate compound, mixed with compressed gas or Organic phosphorus compound, mixed with compressed gas",2.3
NA1961,"Ethane-Propane mixture, refrigerated liquid",2.1
NA1967,Parathion and compressed gas mixture,2.3
NA1987,Denatured alcohol,3
NA1987,Denatured alcohol,3
NA1993,"Combustible liquid, n.o.s.",Combustible liquid
NA1993,"Compounds, cleaning liquid",3
NA1993,"Compounds, cleaning liquid",3
NA1993,"Compounds, cleaning liquid",3
NA1993,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3
NA1993,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3
NA1993,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3
NA1993,Diesel fuel,3
NA1993,"Fuel oil (No. 1, 2, 4, 5, or 6)",3
NA1999,"Asphalt, at or above its flash point",3
NA2212,Asbestos,9
NA2448,"Sulfur, molten",9
NA2742,Isobutyl chloroformate,6.1
NA2742,sec-Butyl chloroformate,6.1
NA2810,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",6.1
NA2810,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",6.1
NA2810,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",6.1
NA2845,"Ethyl phosphonous dichloride, anhydrous pyrophoric liquid",6.1
NA2845,"Methyl phosphonous dichloride, pyrophoric liquid",6.1
NA2927,"Ethyl phosphonothioic dichloride, anhydrous",6.1
NA2927,Ethyl phosphorodichloridate,6.1
NA3077,"Hazardous waste, solid, n.o.s.",9
NA3077,"Other regulated substances, solid, n.o.s.",9
NA3082,"Hazardous waste, liquid, n.o.s.",9
NA3082,"Other regulated substances, liquid, n.o.s.",9
NA3178,Smokeless powder for small arms (100 pounds or less),4.1
NA3334,"Self-defense spray, non-pressurized",9
NA3356,"Oxygen generator, chemical, spent",9
NA9035,Gas identification set,2.3
NA9191,"Chlorine dioxide, hydrate, frozen",5.1
NA9202,"Carbon monoxide, refrigerated liquid (cryogenic liquid)",2.3
NA9206,Methyl phosphonic dichloride,6.1
NA9260,"Aluminum, molten",9
NA9263,Chloropivaloyl chloride,6.1
NA9264,"3,5-Dichloro-2,4,6-trifluoropyridine",6.1
NA9269,Trimethoxysilane,6.1
UN0004,"Ammonium picrate, dry or wetted with less than 10 percent water, by mass",1.1D
UN0005,"Cartridges for weapons, with bursting charge",1.1F
UN0006,"Cartridges for weapons, with bursting charge",1.1E
UN0007,"Cartridges for weapons, with bursting charge",1.2F
UN0009,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",1.2G
UN0010,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",1.3G
UN0012,"Cartridges for weapons, inert projectile or Cartridges, small arms",1.4S
UN0014,"Cartridges for weapons, blank or Cartridges, small arms, blank",1.4S
UN0015,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.2G
UN0016,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.3G
UN0018,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.2G
UN0019,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.3G
UN0020,"Ammunition, toxic with burster, expelling charge, or propelling charge",1.2K
UN0021,"Ammunition, toxic with burster, expelling charge, or propelling charge",1.3K
UN0027,"Black powder or Gunpowder, granular or as a meal",1.1D
UN0028,"Black powder, compressed or Gunpowder, compressed or Black powder, in pellets or Gunpowder, in pellets",1.1D
UN0029,"Detonators, non-electric, for blasting",1.1B
UN0030,"Detonators, electric, for blasting",1.1B
UN0033,"Bombs, with bursting charge",1.1F
UN0034,"Bombs, with bursting charge",1.1D
UN0035,"Bombs, with bursting charge",1.2D
UN0037,"Bombs, photo-flash",1.1F
UN0038,"Bombs, photo-flash",1.1D
UN0039,"Bombs, photo-flash",1.2G
UN0042,"Boosters, without detonator",1.1D
UN0043,"Bursters, explosive",1.1D
UN0044,"Primers, cap type",1.4S
UN0048,"Charges, demolition",1.1D
UN0049,"Cartridges, flash",1.1G
UN0050,"Cartridges, flash",1.3G
UN0054,"Cartridges, signal",1.3G
UN0055,"Cases, cartridge, empty with primer",1.4S
UN0056,"Charges, depth",1.1D
UN0059,"Charges, shaped, without detonator",1.1D
UN0060,"Charges, supplementary explosive",1.1D
UN0065,"Cord, detonating, flexible",1.1D
UN0066,"Cord, igniter",1.4G
UN0070,"Cutters, cable, explosive",1.4S
UN0072,"Cyclotrimethylenetrinitramine, wetted or Cyclonite, wetted or Hexogen, wetted or RDX, wetted with not less than 15 percent water by mass",1.1D
UN0073,Detonators for ammunition,1.1B
UN0074,"Diazodinitrophenol, wetted with not less than 40 percent water or mixture of alcohol and water, by mass",1.1A
UN0075,"Diethyleneglycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass",1.1D
UN0076,"Dinitrophenol, dry or wetted with less than 15 percent water, by mass",1.1D
UN0077,"Dinitrophenolates alkali metals, dry or wetted with less than 15 percent water, by mass",1.3C
UN0078,"Dinitroresorcinol, dry or wetted with less than 15 percent water, by mass",1.1D
UN0079,Hexanitrodiphenylamine or Dipicrylamine or Hexyl,1.1D
UN0081,"Explosive, blasting, type A",1.1D
UN0082,"Explosive, blasting, type B",1.1D
UN0083,"Explosive, blasting, type C",1.1D
UN0084,"Explosive, blasting, type D",1.1D
UN0092,"Flares, surface",1.3G
UN0093,"Flares, aerial",1.3G
UN0094,Flash powder,1.1G
UN0099,"Fracturing devices, explosive, without detonators for oil wells",1.1D
UN0101,"Fuse, non-detonating instantaneous or quickmatch",1.3G
UN0102,Cord detonating or Fuse detonating metal clad,1.2D
UN0103,"Fuse, igniter tubular metal clad",1.4G
UN0104,"Cord, detonating, mild effect or Fuse, detonating, mild effect metal clad",1.4D
UN0105,"Fuse, safety",1.4S
UN0106,"Fuzes, detonating",1.1B
UN0107,"Fuzes, detonating",1.2B
UN0110,"Grenades, practice, hand or rifle",1.4S
UN0113,"Guanyl nitrosaminoguanylidene hydrazine, wetted with not less than 30 percent water, by mass",1.1A
UN0114,"Guanyl nitrosaminoguanyltetrazene, wetted or Tetrazene, wetted with not less than 30 percent water or mixture of alcohol and water, by mass",1.1A
UN0118,"Hexolite, or Hexotol dry or wetted with less than 15 percent water, by mass",1.1D
UN0121,Igniters,1.1G
UN0124,"Jet perforating guns, charged oil well, without detonator",1.1D
UN0129,"Lead azide, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",1.1A
UN0130,"Lead styphnate, wetted or Lead trinitroresorcinate, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",1.1A
UN0131,"Lighters, fuse",1.4S
UN0132,"Deflagrating metal salts of aromatic nitroderivatives, n.o.s.",1.3C
