vma,make,vmo,model,category
,(aka Sikeston Fender),,,
,"L & B Moore Co., Ltd.)",,,
,"L & B Moore Co., Ltd.)",,,
,Outdoors,,,
,Sky-Go Motorcycle Manufacturer,,,Motorcycle
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",---,Medallion (see model under make AMERICAN MOTORS for vehicle years prior to 1989. See model under make Eagle for vehicle years 1989 and later.),Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",---,Eagle (see make Eagle),Auto
,,BLM,Blimp,Aircraft
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",CHK,Cherokee,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",CJ5,CJ-5,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",CJ6,CJ-6,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",CJ7,CJ-7,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",CJ8,CJ-8,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",COM,Comanche,Auto
,,CYL,Cycle only,All Terrain
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",DAK,Dakar,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",GCH,Grand Cherokee,Auto
,,HEL,Helicopters and other Rotor Wing (or rotary-blade drive aircraft),Aircraft
,,HOT,Hot Air Balloon,Aircraft
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",J10,J-10,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",J20,J-20,Auto
,,JET,Jet Propelled,Aircraft
,Infiniti,M37,M37,
,Infiniti,M56,M56,
,,MTLC,"Metal Craft Trailers, Inc.",Trailer
,,PRO,Propeller Driven,Aircraft
,Mercedes-Benz,S42,S420,
,,SAL,Sailplane (Glider),Aircraft
,,SKT,Skis and Tracks,Snowmobiles
,,SKW,Skis and Wheels,Snowmobiles
,Mercedes-Benz,SLS,SLS,
,Chevrolet,SPK,Spark,
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",TK,Utility Wagon,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",TK,Traveller,Auto
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",TK,Jeepster,Auto
,Pope Mfg. Co.,TLD,Toledo,
,,TRA,Tracks only,Snowmobiles
,,TRA,Tracks only,All Terrain
,Pope Mfg. Co.,TRB,Tribune,
,,TRW,Tracks and Wheels,Snowmobiles
,,TRW,Tracks and Wheels,All Terrain
,,ULT,Ultralights,Aircraft
,Chevrolet,VLT,Volt,
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",WAG,Wagoneer,Auto
,Pope Mfg. Co.,WAV,Waverly Electric,
,,WHE,Wheels only,Snowmobiles
,,WHE,Wheels only,All Terrain
,"Jeep (for vehicle years prior to 1970, use VMA/JEP; for vehicle years 1970-1988, use VMA/AMER; for vehicle years 1989 to present, use VMA/JEEP)",WRG,Wrangler,Auto
ITTI,"in Tech Trailers, Inc.",,,Trailer
JMAR,Jomar,,,Auto
LEXS,"Lexus LFA",LFA,,Auto
LNCI,"Lancia 300C RT53",LC3 RT5,,Auto
VALE,"Vale Motor Company or Vale",,,Auto
-,Bianchina (use make Autobianchi),,,Auto
-,German Ford (see make Taunus),,,Auto
-,Hummer (see AM General Corp.),,,Auto
-,King Scorpion (see Montesa),,,Motorcycle
-,Marlin (A.M.C.) (see make America Motors),,,Auto
-,MB (for reference only; see make Moto Beta),,,Motorcycle
-,Premier (see model under make Eagle),,,Auto
-,Steen (see makes Alsport/Steen and Tri-Sport/Steen),,,Motorcycle
-,Willys-Overland (use truck make code),,,Auto
-,Yugo (see make Zastavia),,,Auto
-,Willys-Overland (use truck make code),---,Jeep (see make Jeep),Auto
AAA,AAA Mobile Home Mfg. Co.,,,Trailer
AAB,"A.A.B. Co., Inc.",,,Trailer
AACC,"American Austin Car Company",,,Auto
AACO,Arco (for reference only; see ALEX),,,
AALI,Aalite Co.,,,Trailer
AAPX,"AAPEX Trailers, Inc.",,,Trailer
AARC,All American Racers,,,Auto
AARD,Aardvark Co.,,,Trailer
AASE,A & A Steel Enterprises,,,Trailer
AASS,"AA Screen Supply, Inc. or Aaron Worldwide Machine Co., Inc.",,,Trailer
AATM,All-American Trailer Mfg. Co.,,,Trailer
AATS,AAA Trailer Sales,,,Trailer
AAVH,"Armet Armored Vehicles",,,Auto
AAWS,A-A Welding Service,,,Trailer
AAWS,"Clint R. Woods, Inc.",,,Trailer
ABAR,Abarth,,,Auto
ABBO,"Abbot, Paul Co., Inc.",,,Trailer
ABBO,"Paul Abbot Co., Inc.",,,Trailer
ABC,ABC (Aluminum Body Corp.),,,Trailer
ABCC,ABC Coach Co.,,,Trailer
ABCH,ABC Homes,,,Trailer
ABCO,ABCO Trailer Mfg. Co.,,,Trailer
ABCP,ABC Powder Coating,,,Trailer
ABER,Aberdeen Boat Trailer,,,Trailer
ABFI,ABF Industries,,,Trailer
ABIA,"ABI Leisure, Inc.",,,Trailer
ABTM,Amco Boat Trailer,,,Trailer
ABTR,"A & B Trailer Mfg. Co., Inc.",,,Trailer
ABTS,"About Sales, Inc.",,,Trailer
ABUT,Abu Trailers,,,Trailer
AC,A C (Great Britain),300,3000 ME,Auto
ACAD,Acadian (GM of Canada),BEA,Beaumont Series,Auto
ACAD,Acadian (GM of Canada),CAN,Canso Series,Auto
ACAD,Acadian (GM of Canada),INV,Invader Series,Auto
